标签	含义	频数
W2-	Darkness	0
W3	Geographical terms	11
W4	Weather	0
W5	Green issues	0
X1	Psychological Actions, States And Processes	0
X2	Mental actions and processes	1
X2.1	Thought, belief	20
X2.1-	Without thinking	0
X2.2	Knowledge	0
X2.2+	Knowledgeable	11
X2.2-	No knowledge	0
X2.3	Learn	0
X2.3+	Learning	0
X2.4	Investigate, examine, test, search	0
X2.4+	Double-check	0
X2.4-	Not examined	0
X2.5	Understand	0
X2.5+	Understanding	0
X2.5-	Not understanding	0
X2.6	Expect	0
X2.6+	Expected	8
X2.6-	Unexpected	0
X3	Sensory	0
X3.1	Sensory: Taste	0
X3.1+	Tasty	0
X3.1-	Not tasty	0
X3.2	Sensory: Sound	4
X3.2+	Sound: Loud	0
X3.2-	Sound: Quiet	0
X3.3	Sensory: Touch	1
X3.4	Sensory: Sight	8
X3.4+	Seen	0
X3.4-	Unseen	1
X3.5	Sensory: Smell	0
X3.5-	No smell	0
X4	Mental object	0
X4.1	Mental object: Conceptual object	15
X4.1-	Themeless	0
X4.2	Mental object: Means, method	7
X5	Attention	0
X5.1	Attention	0
X5.1+	Attentive	3
X5.1-	Inattentive	0
X5.2	Interest/boredom/excited/energetic	0
X5.2+	Interested/excited/energetic	22
X5.2-	Uninterested/bored/unenergetic	0
X6	Deciding	0
X6+	Decided	4
X6-	Undecided	0
X7	Wanting; planning; choosing	0
X7+	Wanted	25
X7-	Unwanted	1
X8	Trying	0
X8+	Trying hard	11
X8-	Not trying	0
X9	Ability	0
X9.1	Ability and intelligence	0
X9.1+	Able/intelligent	0
X9.1-	Inability/unintelligence	0
X9.2	Success and failure	0
X9.2+	Success	5
X9.2-	Failure	1
Y1	Science and technology in general	5
Y1-	Anti-scientific	0
Y2	Information technology and computing	1
Y2-	Low-tech	0
Z0	Unmatched proper noun	0
Z1	Personal names	0
Z2	Geographical names	65
Z3	Other proper names	0
Z4	Discourse Bin	1
Z5	Grammatical bin	1735
Z6	Negative	18
Z7	If	0
Z7-	Unconditional	0
Z8	Pronouns	1231
Z9	Trash can	0
Z99	Unmatched	0
